locus_tag	ftype	length_bp	gene	EC_number	COG	product
BIPKCHJG_01658	CDS	3225	yjcD	3.6.4.12	COG0210	Putative ATP-dependent DNA helicase YjcD
BIPKCHJG_01658	gene	3225	yjcD			
BIPKCHJG_01659	CDS	1158	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
BIPKCHJG_01659	gene	1158	moeZ			
BIPKCHJG_01660	CDS	639				putative HTH-type transcriptional regulator
BIPKCHJG_01660	gene	639				
BIPKCHJG_01661	CDS	222				hypothetical protein
BIPKCHJG_01661	gene	222				
BIPKCHJG_01662	CDS	273				hypothetical protein
BIPKCHJG_01662	gene	273				
BIPKCHJG_01663	CDS	681				hypothetical protein
BIPKCHJG_01663	gene	681				
BIPKCHJG_01664	CDS	1554	cshA	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshA
BIPKCHJG_01664	gene	1554	cshA			
BIPKCHJG_01665	CDS	1053	adhc1	1.1.1.2	COG1064	NADP-dependent alcohol dehydrogenase C 1
BIPKCHJG_01665	gene	1053	adhc1			
BIPKCHJG_01666	CDS	783			COG1192	putative protein
BIPKCHJG_01666	gene	783				
BIPKCHJG_01667	CDS	897	gltC_3			HTH-type transcriptional regulator GltC
BIPKCHJG_01667	gene	897	gltC_3			
BIPKCHJG_01668	CDS	255				hypothetical protein
BIPKCHJG_01668	gene	255				
BIPKCHJG_01669	CDS	2067	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
BIPKCHJG_01669	gene	2067	pta			
BIPKCHJG_01670	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
BIPKCHJG_01670	gene	1203	ackA			
BIPKCHJG_01671	CDS	1419			COG0369	Bifunctional cytochrome P450/NADPH--P450 reductase
BIPKCHJG_01671	gene	1419				
BIPKCHJG_01672	CDS	858	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
BIPKCHJG_01672	gene	858	purU			
BIPKCHJG_01673	CDS	1257				hypothetical protein
BIPKCHJG_01673	gene	1257				
BIPKCHJG_01674	CDS	405				hypothetical protein
BIPKCHJG_01674	gene	405				
BIPKCHJG_01675	CDS	249	whiB1			Transcriptional regulator WhiB1
BIPKCHJG_01675	gene	249	whiB1			
BIPKCHJG_01676	CDS	1494	pdtaS	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
BIPKCHJG_01676	gene	1494	pdtaS			
BIPKCHJG_01677	CDS	4869	gdh_2	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
BIPKCHJG_01677	gene	4869	gdh_2			
BIPKCHJG_01678	CDS	285				hypothetical protein
BIPKCHJG_01678	gene	285				
BIPKCHJG_01679	CDS	498				hypothetical protein
BIPKCHJG_01679	gene	498				
BIPKCHJG_01680	CDS	492				putative protein
BIPKCHJG_01680	gene	492				
BIPKCHJG_01681	CDS	1629	rocA	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase
BIPKCHJG_01681	gene	1629	rocA			
BIPKCHJG_01682	CDS	393				hypothetical protein
BIPKCHJG_01682	gene	393				
BIPKCHJG_01683	CDS	1440	wax-dgaT	2.3.1.20		O-acyltransferase WSD
BIPKCHJG_01683	gene	1440	wax-dgaT			
BIPKCHJG_01684	tRNA	96				tRNA-SeC(tca)
BIPKCHJG_01684	gene	96				
BIPKCHJG_01685	CDS	1809	selB		COG3276	Selenocysteine-specific elongation factor
BIPKCHJG_01685	gene	1809	selB			
BIPKCHJG_01686	CDS	993	selD	2.7.9.3	COG0709	Selenide, water dikinase
BIPKCHJG_01686	gene	993	selD			
BIPKCHJG_01687	CDS	1101				hypothetical protein
BIPKCHJG_01687	gene	1101				
BIPKCHJG_01688	CDS	1215	fdnH		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
BIPKCHJG_01688	gene	1215	fdnH			
BIPKCHJG_01689	CDS	2715	fdnG	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
BIPKCHJG_01689	gene	2715	fdnG			
BIPKCHJG_01690	CDS	570	fdhA	1.17.1.9		Formate dehydrogenase subunit alpha
BIPKCHJG_01690	gene	570	fdhA			
BIPKCHJG_01691	CDS	1341				hypothetical protein
BIPKCHJG_01691	gene	1341				
BIPKCHJG_01692	CDS	663				hypothetical protein
BIPKCHJG_01692	gene	663				
BIPKCHJG_01693	CDS	237				hypothetical protein
BIPKCHJG_01693	gene	237				
BIPKCHJG_01694	CDS	600				hypothetical protein
BIPKCHJG_01694	gene	600				
BIPKCHJG_01695	CDS	693				hypothetical protein
BIPKCHJG_01695	gene	693				
BIPKCHJG_01696	CDS	558				hypothetical protein
BIPKCHJG_01696	gene	558				
BIPKCHJG_01697	CDS	1014				hypothetical protein
BIPKCHJG_01697	gene	1014				
BIPKCHJG_01698	CDS	1800			COG1132	putative ABC transporter ATP-binding protein
BIPKCHJG_01698	gene	1800				
BIPKCHJG_01699	CDS	1884		3.6.3.-		Putative multidrug export ATP-binding/permease protein
BIPKCHJG_01699	gene	1884				
BIPKCHJG_01700	CDS	639				hypothetical protein
BIPKCHJG_01700	gene	639				
BIPKCHJG_01701	CDS	789	hisF	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
BIPKCHJG_01701	gene	789	hisF			
BIPKCHJG_01702	CDS	960				hypothetical protein
BIPKCHJG_01702	gene	960				
BIPKCHJG_01703	CDS	1215	yycB		COG2807	putative transporter YycB
BIPKCHJG_01703	gene	1215	yycB			
BIPKCHJG_01704	CDS	465				putative protein
BIPKCHJG_01704	gene	465				
BIPKCHJG_01705	CDS	846	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
BIPKCHJG_01705	gene	846	hisG			
BIPKCHJG_01706	CDS	312	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
BIPKCHJG_01706	gene	312	hisE			
BIPKCHJG_01707	CDS	759	pnuC		COG3201	Nicotinamide riboside transporter PnuC
BIPKCHJG_01707	gene	759	pnuC			
BIPKCHJG_01708	CDS	723				hypothetical protein
BIPKCHJG_01708	gene	723				
BIPKCHJG_01709	CDS	354				hypothetical protein
BIPKCHJG_01709	gene	354				
BIPKCHJG_01710	CDS	648				hypothetical protein
BIPKCHJG_01710	gene	648				
BIPKCHJG_01711	CDS	687	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
BIPKCHJG_01711	gene	687	gpmA_1			
BIPKCHJG_01712	CDS	606	mfpA		COG1357	Pentapeptide repeat protein MfpA
BIPKCHJG_01712	gene	606	mfpA			
BIPKCHJG_01713	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
BIPKCHJG_01713	gene	678	rpe			
BIPKCHJG_01714	CDS	1374		2.1.1.-	COG0144	Putative methyltransferase
BIPKCHJG_01714	gene	1374				
BIPKCHJG_01715	CDS	705	vanYB_1	3.4.16.4	COG1876	D-alanyl-D-alanine carboxypeptidase
BIPKCHJG_01715	gene	705	vanYB_1			
BIPKCHJG_01716	CDS	945	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
BIPKCHJG_01716	gene	945	fmt			
BIPKCHJG_01717	CDS	546	def1	3.5.1.88	COG0242	Peptide deformylase 1
BIPKCHJG_01717	gene	546	def1			
BIPKCHJG_01718	CDS	2103	priA	3.6.4.-	COG1198	putative primosomal protein N'
BIPKCHJG_01718	gene	2103	priA			
BIPKCHJG_01719	CDS	1224	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
BIPKCHJG_01719	gene	1224	metK			
BIPKCHJG_01720	CDS	1338	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
BIPKCHJG_01720	gene	1338	coaBC			
BIPKCHJG_01721	CDS	264	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
BIPKCHJG_01721	gene	264	rpoZ			
BIPKCHJG_01722	CDS	567	gmk	2.7.4.8	COG0194	Guanylate kinase
BIPKCHJG_01722	gene	567	gmk			
BIPKCHJG_01723	CDS	318				hypothetical protein
BIPKCHJG_01723	gene	318				
BIPKCHJG_01724	CDS	846	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
BIPKCHJG_01724	gene	846	pyrF			
BIPKCHJG_01725	CDS	957	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
BIPKCHJG_01725	gene	957	pyrD			
BIPKCHJG_01726	CDS	906	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
BIPKCHJG_01726	gene	906	pyrK			
BIPKCHJG_01727	CDS	3306	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
BIPKCHJG_01727	gene	3306	carB			
BIPKCHJG_01728	CDS	1149	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
BIPKCHJG_01728	gene	1149	carA_1			
BIPKCHJG_01729	CDS	1332	pyrC	3.5.2.3	COG0044	Dihydroorotase
BIPKCHJG_01729	gene	1332	pyrC			
BIPKCHJG_01730	CDS	954	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
BIPKCHJG_01730	gene	954	pyrB			
BIPKCHJG_01731	CDS	594	pyrR		COG2065	Bifunctional protein PyrR
BIPKCHJG_01731	gene	594	pyrR			
BIPKCHJG_01732	CDS	1932				hypothetical protein
BIPKCHJG_01732	gene	1932				
BIPKCHJG_01733	CDS	1839	cphB_1	3.4.15.6		Cyanophycinase
BIPKCHJG_01733	gene	1839	cphB_1			
BIPKCHJG_01734	CDS	1158				hypothetical protein
BIPKCHJG_01734	gene	1158				
BIPKCHJG_01735	CDS	414	nusB		COG0781	Transcription antitermination protein NusB
BIPKCHJG_01735	gene	414	nusB			
BIPKCHJG_01736	CDS	600	efp		COG0231	Elongation factor P
BIPKCHJG_01736	gene	600	efp			
BIPKCHJG_01737	CDS	1563		2.3.1.20		Putative diacyglycerol O-acyltransferase
BIPKCHJG_01737	gene	1563				
BIPKCHJG_01738	CDS	1560	gltA	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
BIPKCHJG_01738	gene	1560	gltA			
BIPKCHJG_01739	CDS	543				hypothetical protein
BIPKCHJG_01739	gene	543				
BIPKCHJG_01740	CDS	642	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
BIPKCHJG_01740	gene	642	rdgB			
BIPKCHJG_01741	CDS	747	rph	2.7.7.56	COG0689	Ribonuclease PH
BIPKCHJG_01741	gene	747	rph			
BIPKCHJG_01742	CDS	765			COG1234	putative protein
BIPKCHJG_01742	gene	765				
BIPKCHJG_01743	CDS	816	murI	5.1.1.3	COG0796	Glutamate racemase
BIPKCHJG_01743	gene	816	murI			
BIPKCHJG_01744	CDS	669				hypothetical protein
BIPKCHJG_01744	gene	669				
BIPKCHJG_01745	CDS	291	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
BIPKCHJG_01745	gene	291	clpS			
BIPKCHJG_01746	CDS	1233	hmgA	1.13.11.5	COG3508	Homogentisate 1,2-dioxygenase
BIPKCHJG_01746	gene	1233	hmgA			
BIPKCHJG_01747	CDS	879	bceA_3		COG1136	Bacitracin export ATP-binding protein BceA
BIPKCHJG_01747	gene	879	bceA_3			
BIPKCHJG_01748	CDS	3087				hypothetical protein
BIPKCHJG_01748	gene	3087				
BIPKCHJG_01749	CDS	681			COG1136	putative ABC transporter ATP-binding protein
BIPKCHJG_01749	gene	681				
BIPKCHJG_01750	CDS	873				hypothetical protein
BIPKCHJG_01750	gene	873				
BIPKCHJG_01751	CDS	1206	yisK_2		COG0179	putative protein YisK
BIPKCHJG_01751	gene	1206	yisK_2			
BIPKCHJG_01752	CDS	936				hypothetical protein
BIPKCHJG_01752	gene	936				
BIPKCHJG_01753	CDS	1332	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase
BIPKCHJG_01753	gene	1332	gabT			
BIPKCHJG_01754	CDS	1017				hypothetical protein
BIPKCHJG_01754	gene	1017				
BIPKCHJG_01755	CDS	774				hypothetical protein
BIPKCHJG_01755	gene	774				
BIPKCHJG_01756	CDS	588				hypothetical protein
BIPKCHJG_01756	gene	588				
BIPKCHJG_01757	CDS	402	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
BIPKCHJG_01757	gene	402	fabG_3			
BIPKCHJG_01758	CDS	1221	hpd	1.13.11.27	COG3185	4-hydroxyphenylpyruvate dioxygenase
BIPKCHJG_01758	gene	1221	hpd			
BIPKCHJG_01759	CDS	489	asnC_2		COG1522	Regulatory protein AsnC
BIPKCHJG_01759	gene	489	asnC_2			
BIPKCHJG_01760	CDS	942				hypothetical protein
BIPKCHJG_01760	gene	942				
BIPKCHJG_01761	CDS	297				hypothetical protein
BIPKCHJG_01761	gene	297				
BIPKCHJG_01762	CDS	567				hypothetical protein
BIPKCHJG_01762	gene	567				
BIPKCHJG_01763	CDS	387				hypothetical protein
BIPKCHJG_01763	gene	387				
BIPKCHJG_01764	CDS	633			COG2968	26 kDa periplasmic immunogenic protein
BIPKCHJG_01764	gene	633				
BIPKCHJG_01765	CDS	630				hypothetical protein
BIPKCHJG_01765	gene	630				
BIPKCHJG_01766	tmRNA	365	ssrA			transfer-messenger RNA, SsrA
BIPKCHJG_01766	gene	365	ssrA			
BIPKCHJG_01767	CDS	852				hypothetical protein
BIPKCHJG_01767	gene	852				
BIPKCHJG_01768	CDS	1968				hypothetical protein
BIPKCHJG_01768	gene	1968				
BIPKCHJG_01769	CDS	468	smpB		COG0691	SsrA-binding protein
BIPKCHJG_01769	gene	468	smpB			
BIPKCHJG_01770	CDS	1368	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
BIPKCHJG_01770	gene	1368	mepM_1			
BIPKCHJG_01771	CDS	906	ftsX		COG2177	Cell division protein FtsX
BIPKCHJG_01771	gene	906	ftsX			
BIPKCHJG_01772	CDS	792	ftsE		COG2884	Cell division ATP-binding protein FtsE
BIPKCHJG_01772	gene	792	ftsE			
BIPKCHJG_01773	CDS	2025	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
BIPKCHJG_01773	gene	2025	lytC_1			
BIPKCHJG_01774	CDS	1116	prfB		COG1186	Peptide chain release factor 2
BIPKCHJG_01774	gene	1116	prfB			
BIPKCHJG_01775	CDS	543	bfrB	1.16.3.1	COG1528	Ferritin BfrB
BIPKCHJG_01775	gene	543	bfrB			
BIPKCHJG_01776	CDS	621				hypothetical protein
BIPKCHJG_01776	gene	621				
BIPKCHJG_01777	CDS	1416	xylB_2	2.7.1.17	COG1070	Xylulose kinase
BIPKCHJG_01777	gene	1416	xylB_2			
BIPKCHJG_01778	CDS	1482	mtlK	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
BIPKCHJG_01778	gene	1482	mtlK			
BIPKCHJG_01779	CDS	858	sugB		COG0395	Trehalose transport system permease protein SugB
BIPKCHJG_01779	gene	858	sugB			
BIPKCHJG_01780	CDS	852	sugA		COG1175	Trehalose transport system permease protein SugA
BIPKCHJG_01780	gene	852	sugA			
BIPKCHJG_01781	CDS	1371	eltP			Erythritol/L-threitol-binding protein
BIPKCHJG_01781	gene	1371	eltP			
BIPKCHJG_01782	CDS	1014	lsrR		COG2390	Transcriptional regulator LsrR
BIPKCHJG_01782	gene	1014	lsrR			
BIPKCHJG_01783	CDS	822	yedK	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
BIPKCHJG_01783	gene	822	yedK			
BIPKCHJG_01784	CDS	543				hypothetical protein
BIPKCHJG_01784	gene	543				
BIPKCHJG_01785	CDS	1326	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
BIPKCHJG_01785	gene	1326	aroA			
BIPKCHJG_01786	CDS	1014	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
BIPKCHJG_01786	gene	1014	rsgA			
BIPKCHJG_01787	CDS	1215	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
BIPKCHJG_01787	gene	1215	oppF_2			
BIPKCHJG_01788	CDS	1050	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
BIPKCHJG_01788	gene	1050	oppD_2			
BIPKCHJG_01789	CDS	927	oppC		COG1173	Oligopeptide transport system permease protein OppC
BIPKCHJG_01789	gene	927	oppC			
BIPKCHJG_01790	CDS	927	dppB_2		COG0601	Dipeptide transport system permease protein DppB
BIPKCHJG_01790	gene	927	dppB_2			
BIPKCHJG_01791	CDS	1686	mppA		COG4166	Periplasmic murein peptide-binding protein
BIPKCHJG_01791	gene	1686	mppA			
BIPKCHJG_01792	CDS	789	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
BIPKCHJG_01792	gene	789	hisN			
BIPKCHJG_01793	CDS	1350		3.4.24.-	COG0612	putative zinc protease
BIPKCHJG_01793	gene	1350				
BIPKCHJG_01794	CDS	1317		3.4.24.-	COG0612	putative zinc protease
BIPKCHJG_01794	gene	1317				
BIPKCHJG_01795	CDS	501	prpE	3.6.1.17	COG0639	Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical]
BIPKCHJG_01795	gene	501	prpE			
BIPKCHJG_01796	CDS	150				hypothetical protein
BIPKCHJG_01796	gene	150				
BIPKCHJG_01797	CDS	183				hypothetical protein
BIPKCHJG_01797	gene	183				
BIPKCHJG_01798	CDS	135				hypothetical protein
BIPKCHJG_01798	gene	135				
BIPKCHJG_01799	CDS	465				hypothetical protein
BIPKCHJG_01799	gene	465				
BIPKCHJG_01800	CDS	879				hypothetical protein
BIPKCHJG_01800	gene	879				
BIPKCHJG_01801	CDS	2931	hsdR_3	3.1.21.3		Type I restriction enzyme EcoR124II R protein
BIPKCHJG_01801	gene	2931	hsdR_3			
BIPKCHJG_01802	CDS	1071				hypothetical protein
BIPKCHJG_01802	gene	1071				
BIPKCHJG_01803	CDS	297				hypothetical protein
BIPKCHJG_01803	gene	297				
BIPKCHJG_01804	CDS	1365				hypothetical protein
BIPKCHJG_01804	gene	1365				
BIPKCHJG_01805	CDS	1869				hypothetical protein
BIPKCHJG_01805	gene	1869				
BIPKCHJG_01806	CDS	1968		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
BIPKCHJG_01806	gene	1968				
BIPKCHJG_01807	CDS	3231	traI_1			Multifunctional conjugation protein TraI
BIPKCHJG_01807	gene	3231	traI_1			
BIPKCHJG_01808	CDS	198				hypothetical protein
BIPKCHJG_01808	gene	198				
BIPKCHJG_01809	CDS	180				hypothetical protein
BIPKCHJG_01809	gene	180				
BIPKCHJG_01810	CDS	165				hypothetical protein
BIPKCHJG_01810	gene	165				
BIPKCHJG_01811	CDS	702				hypothetical protein
BIPKCHJG_01811	gene	702				
BIPKCHJG_01812	CDS	2289				hypothetical protein
BIPKCHJG_01812	gene	2289				
BIPKCHJG_01813	CDS	1281	eno	4.2.1.11	COG0148	Enolase
BIPKCHJG_01813	gene	1281	eno			
BIPKCHJG_01814	CDS	513				hypothetical protein
BIPKCHJG_01814	gene	513				
BIPKCHJG_01815	CDS	498				hypothetical protein
BIPKCHJG_01815	gene	498				
BIPKCHJG_01816	CDS	954	ppx2	3.6.1.11		Exopolyphosphatase 2
BIPKCHJG_01816	gene	954	ppx2			
BIPKCHJG_01817	CDS	468				hypothetical protein
BIPKCHJG_01817	gene	468				
BIPKCHJG_01818	tRNA	76				tRNA-Leu(taa)
BIPKCHJG_01818	gene	76				
BIPKCHJG_01819	CDS	858				hypothetical protein
BIPKCHJG_01819	gene	858				
BIPKCHJG_01820	CDS	285				hypothetical protein
BIPKCHJG_01820	gene	285				
BIPKCHJG_01821	CDS	1134				hypothetical protein
BIPKCHJG_01821	gene	1134				
BIPKCHJG_01822	CDS	384				hypothetical protein
BIPKCHJG_01822	gene	384				
BIPKCHJG_01823	CDS	1335				hypothetical protein
BIPKCHJG_01823	gene	1335				
BIPKCHJG_01824	CDS	975	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
BIPKCHJG_01824	gene	975	drrA_1			
BIPKCHJG_01825	CDS	852	drrB			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
BIPKCHJG_01825	gene	852	drrB			
BIPKCHJG_01826	CDS	1221	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
BIPKCHJG_01826	gene	1221	tdcB			
BIPKCHJG_01827	CDS	489	greA		COG0782	Transcription elongation factor GreA
BIPKCHJG_01827	gene	489	greA			
BIPKCHJG_01828	CDS	405				hypothetical protein
BIPKCHJG_01828	gene	405				
BIPKCHJG_01829	CDS	936	mca_1	3.5.1.115	COG2120	Mycothiol S-conjugate amidase
BIPKCHJG_01829	gene	936	mca_1			
BIPKCHJG_01830	CDS	261				hypothetical protein
BIPKCHJG_01830	gene	261				
BIPKCHJG_01831	CDS	762		2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
BIPKCHJG_01831	gene	762				
BIPKCHJG_01832	CDS	1362			COG1702	PhoH-like protein
BIPKCHJG_01832	gene	1362				
BIPKCHJG_01833	CDS	1284				hypothetical protein
BIPKCHJG_01833	gene	1284				
BIPKCHJG_01834	CDS	741				hypothetical protein
BIPKCHJG_01834	gene	741				
BIPKCHJG_01835	CDS	957	coaA_1	2.7.1.33	COG1072	Pantothenate kinase
BIPKCHJG_01835	gene	957	coaA_1			
BIPKCHJG_01836	CDS	1860	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
BIPKCHJG_01836	gene	1860	glmS_1			
BIPKCHJG_01837	CDS	354	acpS	2.7.8.7		Holo-[acyl-carrier-protein] synthase
BIPKCHJG_01837	gene	354	acpS			
BIPKCHJG_01838	CDS	1488	nnr_2		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
BIPKCHJG_01838	gene	1488	nnr_2			
BIPKCHJG_01839	CDS	657				hypothetical protein
BIPKCHJG_01839	gene	657				
BIPKCHJG_01840	CDS	1191	alr	5.1.1.1	COG0787	Alanine racemase
BIPKCHJG_01840	gene	1191	alr			
BIPKCHJG_01841	CDS	1173		3.1.1.2		Arylesterase
BIPKCHJG_01841	gene	1173				
BIPKCHJG_01842	CDS	507	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
BIPKCHJG_01842	gene	507	tsaE			
BIPKCHJG_01843	CDS	681			COG1214	putative protein
BIPKCHJG_01843	gene	681				
BIPKCHJG_01844	CDS	474	rimI_1	2.3.1.255	COG0456	N-alpha-acetyltransferase RimI
BIPKCHJG_01844	gene	474	rimI_1			
BIPKCHJG_01845	CDS	1047	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
BIPKCHJG_01845	gene	1047	tsaD			
BIPKCHJG_01846	CDS	1224	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
BIPKCHJG_01846	gene	1224	nagZ			
BIPKCHJG_01847	CDS	1134		3.2.1.52		Beta-hexosaminidase A
BIPKCHJG_01847	gene	1134				
BIPKCHJG_01848	CDS	984	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
BIPKCHJG_01848	gene	984	rihA			
BIPKCHJG_01849	CDS	903	rbsK/rbiA			Bifunctional ribokinase/ribose-5-phosphate isomerase A
BIPKCHJG_01849	gene	903	rbsK/rbiA			
BIPKCHJG_01850	CDS	615				hypothetical protein
BIPKCHJG_01850	gene	615				
BIPKCHJG_01851	CDS	810			COG2141	putative protein
BIPKCHJG_01851	gene	810				
BIPKCHJG_01852	CDS	1248				hypothetical protein
BIPKCHJG_01852	gene	1248				
BIPKCHJG_01853	CDS	294	groS_1		COG0234	10 kDa chaperonin
BIPKCHJG_01853	gene	294	groS_1			
BIPKCHJG_01854	CDS	1617	groL1			60 kDa chaperonin 1
BIPKCHJG_01854	gene	1617	groL1			
BIPKCHJG_01855	CDS	1269	garP			putative galactarate transporter
BIPKCHJG_01855	gene	1269	garP			
BIPKCHJG_01856	CDS	300	whiD			Transcriptional regulator WhiD
BIPKCHJG_01856	gene	300	whiD			
BIPKCHJG_01857	CDS	1530	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
BIPKCHJG_01857	gene	1530	guaB			
BIPKCHJG_01858	CDS	396		3.1.-.-	COG3742	Ribonuclease VapC42
BIPKCHJG_01858	gene	396				
BIPKCHJG_01859	CDS	270				hypothetical protein
BIPKCHJG_01859	gene	270				
BIPKCHJG_01860	CDS	1128		1.-.-.-	COG0516	putative oxidoreductase/MSMEI_1564
BIPKCHJG_01860	gene	1128				
BIPKCHJG_01861	CDS	1605	gabD2	1.2.1.79	COG1012	Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2
BIPKCHJG_01861	gene	1605	gabD2			
BIPKCHJG_01862	CDS	1635	choD	1.1.3.6	COG2303	Cholesterol oxidase
BIPKCHJG_01862	gene	1635	choD			
BIPKCHJG_01863	CDS	1842			COG1132	putative ABC transporter ATP-binding protein
BIPKCHJG_01863	gene	1842				
BIPKCHJG_01864	CDS	1707	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
BIPKCHJG_01864	gene	1707	yheI			
BIPKCHJG_01865	CDS	222				hypothetical protein
BIPKCHJG_01865	gene	222				
BIPKCHJG_01866	CDS	1530				Hydrazine synthase subunit beta
BIPKCHJG_01866	gene	1530				
BIPKCHJG_01867	CDS	786				hypothetical protein
BIPKCHJG_01867	gene	786				
BIPKCHJG_01868	CDS	321				putative protein
BIPKCHJG_01868	gene	321				
BIPKCHJG_01869	CDS	1569	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
BIPKCHJG_01869	gene	1569	guaA			
BIPKCHJG_01870	CDS	912				hypothetical protein
BIPKCHJG_01870	gene	912				
BIPKCHJG_01871	CDS	753			COG0204	putative protein
BIPKCHJG_01871	gene	753				
BIPKCHJG_01872	CDS	1314	murD_1	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
BIPKCHJG_01872	gene	1314	murD_1			
BIPKCHJG_01873	CDS	726	cobQ_2			Cobyric acid synthase
BIPKCHJG_01873	gene	726	cobQ_2			
BIPKCHJG_01874	CDS	966				hypothetical protein
BIPKCHJG_01874	gene	966				
BIPKCHJG_01875	CDS	1053				hypothetical protein
BIPKCHJG_01875	gene	1053				
BIPKCHJG_01876	CDS	825	mca_2	3.5.1.115	COG2120	Mycothiol S-conjugate amidase
BIPKCHJG_01876	gene	825	mca_2			
BIPKCHJG_01877	CDS	1122	mgs	2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
BIPKCHJG_01877	gene	1122	mgs			
BIPKCHJG_01878	CDS	732	rppH_2	3.6.1.-		RNA pyrophosphohydrolase
BIPKCHJG_01878	gene	732	rppH_2			
BIPKCHJG_01879	CDS	234				hypothetical protein
BIPKCHJG_01879	gene	234				
BIPKCHJG_01880	CDS	1419				hypothetical protein
BIPKCHJG_01880	gene	1419				
BIPKCHJG_01881	CDS	1248				hypothetical protein
BIPKCHJG_01881	gene	1248				
BIPKCHJG_01882	CDS	693	nreC_2		COG2197	Oxygen regulatory protein NreC
BIPKCHJG_01882	gene	693	nreC_2			
BIPKCHJG_01883	CDS	1206	bfrA	3.2.1.26	COG1621	Beta-fructosidase
BIPKCHJG_01883	gene	1206	bfrA			
BIPKCHJG_01884	CDS	378				hypothetical protein
BIPKCHJG_01884	gene	378				
BIPKCHJG_01885	CDS	978	qorA_2	1.6.5.5	COG0604	Quinone oxidoreductase 1
BIPKCHJG_01885	gene	978	qorA_2			
BIPKCHJG_01886	CDS	504				hypothetical protein
BIPKCHJG_01886	gene	504				
BIPKCHJG_01887	CDS	573				hypothetical protein
BIPKCHJG_01887	gene	573				
